id,title,depth,href
1,Model basics,1,https://dcl-model.stanford.edu/model_basics.html
1.1,What is a model?,2,https://dcl-model.stanford.edu/model_basics.html#what-is-a-model
1.2,Supervised learning,2,https://dcl-model.stanford.edu/model_basics.html#supervised-learning
1.3,Fitting a model,2,https://dcl-model.stanford.edu/model_basics.html#fitting-a-model
1.3.1,Decide on a function family,3,https://dcl-model.stanford.edu/model_basics.html#decide-on-a-function-family
1.3.2,Decide on an error metric,3,https://dcl-model.stanford.edu/model_basics.html#decide-on-an-error-metric
1.3.3,Find your parameters,3,https://dcl-model.stanford.edu/model_basics.html#find-your-parameters
1.4,Error metric choice,2,https://dcl-model.stanford.edu/model_basics.html#error-metric-choice
1.5,Summary,2,https://dcl-model.stanford.edu/model_basics.html#summary
2,Understand your data,1,https://dcl-model.stanford.edu/understand_your_data.html
2.1,Understand your variables,2,https://dcl-model.stanford.edu/understand_your_data.html#understand-your-variables
2.1.1,Read the documentation,3,https://dcl-model.stanford.edu/understand_your_data.html#read-the-documentation
2.1.2,glimpse(),3,https://dcl-model.stanford.edu/understand_your_data.html#glimpse
2.1.3,summary(),3,https://dcl-model.stanford.edu/understand_your_data.html#summary-1
2.2,Check for problems,2,https://dcl-model.stanford.edu/understand_your_data.html#check-for-problems
2.3,1D EDA,2,https://dcl-model.stanford.edu/understand_your_data.html#d-eda
2.3.1,Variable types,3,https://dcl-model.stanford.edu/understand_your_data.html#variable-types
2.3.2,Continuous variables,3,https://dcl-model.stanford.edu/understand_your_data.html#continuous-variables
2.3.3,Discrete variables,3,https://dcl-model.stanford.edu/understand_your_data.html#discrete-variables
2.4,Summary,2,https://dcl-model.stanford.edu/understand_your_data.html#summary-2
3,Determine functional form,1,https://dcl-model.stanford.edu/determine_functional_form.html
3.1,Families of linear functions,2,https://dcl-model.stanford.edu/determine_functional_form.html#families-of-linear-functions
3.2,Formulas,2,https://dcl-model.stanford.edu/determine_functional_form.html#formulas
3.3,Continuous predictors,2,https://dcl-model.stanford.edu/determine_functional_form.html#continuous-predictors
3.3.1,Transformations,3,https://dcl-model.stanford.edu/determine_functional_form.html#transformations
3.3.2,Visual checks,3,https://dcl-model.stanford.edu/determine_functional_form.html#visual-checks
3.4,Discrete predictors,2,https://dcl-model.stanford.edu/determine_functional_form.html#discrete-predictors
3.4.1,Functional form,3,https://dcl-model.stanford.edu/determine_functional_form.html#functional-form
3.4.2,Visual checks,3,https://dcl-model.stanford.edu/determine_functional_form.html#visual-checks-1
3.5,Summary,2,https://dcl-model.stanford.edu/determine_functional_form.html#summary-3
4,Fitting basics,1,https://dcl-model.stanford.edu/fitting.html
4.1,Tidymodeling,2,https://dcl-model.stanford.edu/fitting.html#tidymodeling
4.2,Fit,2,https://dcl-model.stanford.edu/fitting.html#fit
4.2.1,Assemble data,3,https://dcl-model.stanford.edu/fitting.html#assemble-data
4.2.2,Specify model,3,https://dcl-model.stanford.edu/fitting.html#specify-model
4.2.3,Fit,3,https://dcl-model.stanford.edu/fitting.html#fit-1
4.3,Evaluate,2,https://dcl-model.stanford.edu/fitting.html#evaluate
4.3.1,Visualize predictions,3,https://dcl-model.stanford.edu/fitting.html#visualize-predictions
4.3.2,Visualize residuals,3,https://dcl-model.stanford.edu/fitting.html#visualize-residuals
4.3.3,Error metrics,3,https://dcl-model.stanford.edu/fitting.html#error-metrics
4.4,Code summary,2,https://dcl-model.stanford.edu/fitting.html#code-summary
