id,title,depth,href
1,Introduction,1,https://dcl-prog.stanford.edu/data-structures.html
2,"Vectors, lists, and tibbles",1,https://dcl-prog.stanford.edu/data-structure-basics.html
2.1,Atomic vectors,2,https://dcl-prog.stanford.edu/data-structure-basics.html#atomic-vectors
2.1.1,Properties,3,https://dcl-prog.stanford.edu/data-structure-basics.html#properties
2.1.2,Subsetting,3,https://dcl-prog.stanford.edu/data-structure-basics.html#subsetting
2.1.3,Applying functions,3,https://dcl-prog.stanford.edu/data-structure-basics.html#applying-functions
2.1.4,Augmented vectors,3,https://dcl-prog.stanford.edu/data-structure-basics.html#augmented-vectors
2.2,Lists,2,https://dcl-prog.stanford.edu/data-structure-basics.html#lists
2.2.1,Basics,3,https://dcl-prog.stanford.edu/data-structure-basics.html#basics
2.2.2,Flattening,3,https://dcl-prog.stanford.edu/data-structure-basics.html#flattening
2.3,Tibbles,2,https://dcl-prog.stanford.edu/data-structure-basics.html#tibbles
2.3.1,Creation,3,https://dcl-prog.stanford.edu/data-structure-basics.html#creation
2.3.2,Variables,3,https://dcl-prog.stanford.edu/data-structure-basics.html#variables
2.3.3,Dimensions,3,https://dcl-prog.stanford.edu/data-structure-basics.html#dimensions
3,List columns,1,https://dcl-prog.stanford.edu/list-columns.html
3.1,Creating,2,https://dcl-prog.stanford.edu/list-columns.html#creating
3.1.1,nest(),3,https://dcl-prog.stanford.edu/list-columns.html#nest
3.1.2,summarize() and list(),3,https://dcl-prog.stanford.edu/list-columns.html#summarize-and-list
3.1.3,mutate() and map(),3,https://dcl-prog.stanford.edu/list-columns.html#mutate-and-map
3.2,Unnesting,2,https://dcl-prog.stanford.edu/list-columns.html#unnesting
3.3,Manipulating,2,https://dcl-prog.stanford.edu/list-columns.html#manipulating
4,Introduction,1,https://dcl-prog.stanford.edu/functions.html
5,Vector functions,1,https://dcl-prog.stanford.edu/function-vector.html
5.1,Temperature recommendations,2,https://dcl-prog.stanford.edu/function-vector.html#temperature-recommendations
5.2,Vector functions and mutate(),2,https://dcl-prog.stanford.edu/function-vector.html#vector-functions-and-mutate
5.3,Vectorizing if-else statements,2,https://dcl-prog.stanford.edu/function-vector.html#vectorizing-if-else-statements
6,Anonymous functions,1,https://dcl-prog.stanford.edu/function-anonymous.html
7,Predicate functions,1,https://dcl-prog.stanford.edu/function-predicate.html
8,Introduction,1,https://dcl-prog.stanford.edu/iteration.html
9,Basic map functions,1,https://dcl-prog.stanford.edu/purrr-basics.html
9.1,Iteration as an assembly line,2,https://dcl-prog.stanford.edu/purrr-basics.html#iteration-as-an-assembly-line
9.2,The map functions,2,https://dcl-prog.stanford.edu/purrr-basics.html#the-map-functions
9.2.1,Extra arguments,3,https://dcl-prog.stanford.edu/purrr-basics.html#extra-arguments
9.2.2,Anonymous functions,3,https://dcl-prog.stanford.edu/purrr-basics.html#anonymous-functions-1
9.2.3,Tibbles,3,https://dcl-prog.stanford.edu/purrr-basics.html#tibbles-1
10,purrr inside mutate,1,https://dcl-prog.stanford.edu/purrr-mutate.html
11,Map with multiple inputs,1,https://dcl-prog.stanford.edu/purrr-parallel.html
11.1,map2(),2,https://dcl-prog.stanford.edu/purrr-parallel.html#map2
11.2,pmap(),2,https://dcl-prog.stanford.edu/purrr-parallel.html#pmap
11.2.1,Anonymous functions,3,https://dcl-prog.stanford.edu/purrr-parallel.html#anonymous-functions-2
11.2.2,Named functions,3,https://dcl-prog.stanford.edu/purrr-parallel.html#named-functions
12,Other purrr functions,1,https://dcl-prog.stanford.edu/purrr-extras.html
12.1,map functions that output tibbles,2,https://dcl-prog.stanford.edu/purrr-extras.html#map-functions-that-output-tibbles
12.1.1,_dfr,3,https://dcl-prog.stanford.edu/purrr-extras.html#dfr
12.1.2,_dfc,3,https://dcl-prog.stanford.edu/purrr-extras.html#dfc
12.2,Walk,2,https://dcl-prog.stanford.edu/purrr-extras.html#walk
12.3,Predicate functions,2,https://dcl-prog.stanford.edu/purrr-extras.html#predicate-functions-1
13,Introduction,1,https://dcl-prog.stanford.edu/tidy-eval-section.html
14,Basics,1,https://dcl-prog.stanford.edu/tidy-eval-basics.html
14.1,Embracing with {{ }},2,https://dcl-prog.stanford.edu/tidy-eval-basics.html#embracing-with
14.2,Forwarding ...,2,https://dcl-prog.stanford.edu/tidy-eval-basics.html#forwarding-...
14.2.1,Passing full expressions,3,https://dcl-prog.stanford.edu/tidy-eval-basics.html#passing-full-expressions
14.2.2,Additional arguments,3,https://dcl-prog.stanford.edu/tidy-eval-basics.html#additional-arguments
14.3,Assigning names,2,https://dcl-prog.stanford.edu/tidy-eval-basics.html#assigning-names
14.4,Recoding,2,https://dcl-prog.stanford.edu/tidy-eval-basics.html#recoding
